"","participant","predicate","predicate_number","context","context_number","response"
"909",33,"be annoyed",9,"15H",34,1
"911",34,"discover",14,"20L",27,0
"912",34,"hear",16,"13H",8,0.5
"914",34,"see",19,"2H",25,0.27
"915",34,"be annoyed",9,"8H",1,1
"917",34,"think",7,"3L",9,0
"919",34,"confirm",4,"12H",2,0
"920",34,"inform",12,"16L",31,0
"921",34,"demonstrate",18,"17L",15,0
"922",34,"suggest",17,"14H",22,0
"923",34,"reveal",3,"11L",11,1
"924",34,"pretend",15,"1H",13,0
"925",34,"announce",10,"4L",12,0
"926",34,"prove",2,"6L",30,0
"927",34,"be right",6,"10H",18,0
"929",34,"confess",20,"15H",34,1
"931",34,"admit",13,"7H",24,0
"932",34,"say",8,"18L",32,0
"933",34,"know",11,"9L",16,0.5
"935",34,"acknowledge",5,"5L",38,0.49
"936",34,"establish",1,"19H",39,0
"938",35,"reveal",3,"8L",23,1
"940",35,"confirm",4,"6H",5,0.04
"941",35,"admit",13,"15L",7,0.4
"942",35,"demonstrate",18,"9L",16,0.09
"943",35,"confess",20,"12L",28,0
"944",35,"prove",2,"5L",38,0.17
"945",35,"be right",6,"17H",21,0.64
"946",35,"acknowledge",5,"18H",6,0.55
"948",35,"say",8,"4H",40,0.37
"949",35,"think",7,"11H",29,0.84
"950",35,"inform",12,"1L",37,0.08
"951",35,"announce",10,"3L",9,0.35
"953",35,"see",19,"19H",39,0.84
"954",35,"know",11,"2L",10,0
"955",35,"hear",16,"20H",3,0.52
"956",35,"pretend",15,"10H",18,0.5
"957",35,"discover",14,"13H",8,0.73
"958",35,"be annoyed",9,"7L",19,0.21
"959",35,"suggest",17,"16H",17,0.52
"961",35,"establish",1,"14L",14,0.51
"963",36,"discover",14,"2H",25,0.43
"964",36,"know",11,"18L",32,0.19
"965",36,"inform",12,"5H",20,0.52
"966",36,"pretend",15,"15L",7,0.43
"967",36,"reveal",3,"1L",37,0.09
"969",36,"confirm",4,"13L",26,0.62
"970",36,"confess",20,"8H",1,0.11
"971",36,"acknowledge",5,"3L",9,0.06
"972",36,"say",8,"16H",17,0.27
"973",36,"announce",10,"19H",39,0.87
"974",36,"admit",13,"11L",11,0.05
"977",36,"demonstrate",18,"9H",35,0.14
"978",36,"hear",16,"12L",28,0.38
"979",36,"suggest",17,"14L",14,0.26
"980",36,"establish",1,"7H",24,0.04
"983",36,"be annoyed",9,"4H",40,0.09
"984",36,"think",7,"6H",5,0.14
"985",36,"prove",2,"17L",15,0.08
"986",36,"see",19,"10H",18,0.48
"987",36,"be right",6,"20L",27,0.14
"989",37,"reveal",3,"18L",32,0.94
"990",37,"demonstrate",18,"13H",8,0.53
"991",37,"pretend",15,"20H",3,0.11
"992",37,"know",11,"14L",14,0.99
"993",37,"be annoyed",9,"6H",5,0.95
"995",37,"announce",10,"16L",31,0.96
"996",37,"prove",2,"15L",7,0.07
"998",37,"confess",20,"8L",23,0.02
"999",37,"hear",16,"9H",35,0.97
"1000",37,"confirm",4,"2H",25,0.97
"1002",37,"think",7,"19H",39,0.51
"1003",37,"acknowledge",5,"7L",19,0.04
"1005",37,"admit",13,"5L",38,0.88
"1006",37,"discover",14,"1L",37,0.22
"1009",37,"be right",6,"10L",36,0.19
"1010",37,"suggest",17,"3H",33,0.03
"1011",37,"say",8,"4L",12,0.01
"1012",37,"establish",1,"11H",29,0.04
"1013",37,"inform",12,"12H",2,0.05
"1014",37,"see",19,"17H",21,0.28
"1015",38,"be annoyed",9,"13H",8,0.8
"1016",38,"admit",13,"14L",14,0.48
"1017",38,"discover",14,"5H",20,0.51
"1018",38,"see",19,"9L",16,0.47
"1019",38,"establish",1,"8H",1,0.22
"1020",38,"think",7,"3H",33,0.46
"1022",38,"be right",6,"16H",17,0.47
"1023",38,"confirm",4,"6H",5,0.33
"1024",38,"acknowledge",5,"17L",15,0.28
"1025",38,"hear",16,"12H",2,0.46
"1026",38,"demonstrate",18,"15H",34,0.24
"1027",38,"pretend",15,"18L",32,0.43
"1029",38,"prove",2,"1L",37,0.15
"1031",38,"announce",10,"2L",10,0.46
"1032",38,"confess",20,"11L",11,0.46
"1033",38,"say",8,"4L",12,0.11
"1034",38,"know",11,"19H",39,0.8
"1036",38,"suggest",17,"7L",19,0.38
"1037",38,"inform",12,"20H",3,0.18
"1040",38,"reveal",3,"10L",36,0.04
"1041",39,"pretend",15,"9L",16,0.03
"1042",39,"discover",14,"10H",18,0.85
"1043",39,"reveal",3,"7L",19,0.01
"1044",39,"admit",13,"2L",10,0.7
"1045",39,"think",7,"1H",13,0.98
"1046",39,"be right",6,"16L",31,0.02
"1047",39,"confess",20,"6L",30,0.8
"1048",39,"announce",10,"4L",12,0
"1049",39,"establish",1,"18H",6,0.09
"1051",39,"be annoyed",9,"14L",14,0.99
"1052",39,"demonstrate",18,"3H",33,0
"1053",39,"suggest",17,"11H",29,0.02
"1055",39,"know",11,"19L",4,0.98
"1057",39,"hear",16,"13H",8,0.98
"1058",39,"say",8,"5L",38,0.03
"1059",39,"prove",2,"8L",23,0.03
"1060",39,"see",19,"20H",3,0.99
"1061",39,"acknowledge",5,"15H",34,0.82
"1065",39,"inform",12,"12H",2,0.97
"1066",39,"confirm",4,"17H",21,0.22
"1067",40,"inform",12,"10L",36,1
"1070",40,"think",7,"8H",1,0.59
"1072",40,"discover",14,"4L",12,0.94
"1074",40,"establish",1,"1H",13,0.75
"1075",40,"demonstrate",18,"2H",25,0.99
"1076",40,"announce",10,"14L",14,0.97
"1077",40,"reveal",3,"19H",39,0.99
"1078",40,"confirm",4,"7L",19,0.88
"1079",40,"see",19,"3L",9,0.99
"1080",40,"confess",20,"11H",29,0.96
"1081",40,"pretend",15,"16H",17,0.02
"1082",40,"be annoyed",9,"15L",7,0.98
"1083",40,"acknowledge",5,"9H",35,1
"1084",40,"suggest",17,"17H",21,0.55
"1086",40,"be right",6,"12L",28,0.79
"1087",40,"hear",16,"13L",26,1
"1088",40,"know",11,"20L",27,0.98
"1090",40,"say",8,"6H",5,0.62
"1091",40,"admit",13,"18H",6,0.98
"1092",40,"prove",2,"5L",38,0.98
"1094",41,"reveal",3,"17L",15,0.53
"1095",41,"see",19,"11L",11,0.01
"1096",41,"suggest",17,"5H",20,0.25
"1098",41,"inform",12,"8H",1,0.59
"1099",41,"pretend",15,"2H",25,0.31
"1100",41,"be annoyed",9,"1L",37,0.95
"1101",41,"hear",16,"10H",18,0.99
"1102",41,"admit",13,"19H",39,0.96
"1103",41,"confirm",4,"20L",27,0.02
"1106",41,"think",7,"16L",31,0.38
"1107",41,"say",8,"9H",35,0.78
"1108",41,"announce",10,"7H",24,0.97
"1109",41,"confess",20,"4L",12,0.96
"1110",41,"demonstrate",18,"15H",34,0.81
"1111",41,"discover",14,"13L",26,0.49
"1113",41,"know",11,"6L",30,0.97
"1114",41,"prove",2,"12L",28,0.03
"1115",41,"be right",6,"3H",33,0.01
"1116",41,"establish",1,"14L",14,0.01
"1118",41,"acknowledge",5,"18H",6,0.05
"1119",42,"acknowledge",5,"15L",7,0.93
"1120",42,"establish",1,"5L",38,0.18
"1121",42,"think",7,"2L",10,0.01
"1122",42,"reveal",3,"11H",29,0.93
"1123",42,"pretend",15,"8H",1,0.02
"1124",42,"be annoyed",9,"17L",15,0.49
"1127",42,"see",19,"18L",32,0.5
"1129",42,"discover",14,"7H",24,0.85
"1130",42,"announce",10,"14L",14,0.04
"1131",42,"demonstrate",18,"3H",33,0.52
"1132",42,"say",8,"4L",12,0.01
"1133",42,"prove",2,"12L",28,0.05
"1134",42,"know",11,"10H",18,0.98
"1135",42,"be right",6,"16H",17,0.02
"1138",42,"inform",12,"9L",16,0.99
"1139",42,"suggest",17,"1H",13,0.7
"1140",42,"confirm",4,"13H",8,0.11
"1141",42,"admit",13,"6L",30,0.5
"1142",42,"confess",20,"20H",3,0.49
"1143",42,"hear",16,"19H",39,0.97
"1145",43,"prove",2,"1L",37,0.21
"1146",43,"confess",20,"10H",18,0.48
"1147",43,"see",19,"14L",14,0.38
"1148",43,"hear",16,"15H",34,0.92
"1149",43,"suggest",17,"13H",8,0.17
"1150",43,"know",11,"9L",16,0.95
"1151",43,"reveal",3,"7L",19,0.38
"1152",43,"discover",14,"8L",23,0.34
"1154",43,"announce",10,"2H",25,0.5
"1157",43,"acknowledge",5,"6L",30,0.09
"1158",43,"admit",13,"19L",4,0.29
"1160",43,"demonstrate",18,"11L",11,0.32
"1161",43,"confirm",4,"20L",27,0.12
"1162",43,"inform",12,"18H",6,0.82
"1164",43,"be annoyed",9,"5H",20,0.95
"1165",43,"be right",6,"16H",17,0
"1166",43,"pretend",15,"4H",40,0
"1167",43,"think",7,"12H",2,0.05
"1169",43,"say",8,"3H",33,0.01
"1170",43,"establish",1,"17L",15,0.1
"1171",44,"demonstrate",18,"6L",30,0.18
"1172",44,"know",11,"15H",34,0.78
"1174",44,"say",8,"18H",6,0.47
"1177",44,"hear",16,"17L",15,0.23
"1178",44,"prove",2,"12L",28,0.33
"1179",44,"confess",20,"8L",23,0.37
"1180",44,"think",7,"20L",27,0.17
"1181",44,"see",19,"16H",17,0.62
"1182",44,"inform",12,"5H",20,0.49
"1183",44,"acknowledge",5,"2L",10,0.21
"1184",44,"announce",10,"14H",22,0.49
"1185",44,"be right",6,"11L",11,0.22
"1186",44,"discover",14,"3H",33,0.62
"1187",44,"establish",1,"1H",13,0.67
"1188",44,"pretend",15,"9H",35,0.49
"1189",44,"reveal",3,"13L",26,0.22
"1190",44,"suggest",17,"10L",36,0.21
"1191",44,"be annoyed",9,"19H",39,0.65
"1192",44,"admit",13,"4H",40,0.75
"1194",44,"confirm",4,"7L",19,0.27
"1197",45,"be right",6,"12L",28,0.26
"1198",45,"discover",14,"1L",37,0.55
"1200",45,"think",7,"5H",20,0.39
"1201",45,"suggest",17,"18H",6,0.29
"1202",45,"reveal",3,"19L",4,0.09
"1203",45,"establish",1,"10H",18,0.34
"1204",45,"pretend",15,"6H",5,0.07
"1205",45,"announce",10,"16L",31,0.02
"1206",45,"inform",12,"15H",34,0.89
"1208",45,"see",19,"11L",11,0.82
"1209",45,"acknowledge",5,"7H",24,0.98
"1210",45,"demonstrate",18,"2L",10,0.01
"1212",45,"admit",13,"4L",12,0.65
"1214",45,"confess",20,"3L",9,0.61
"1215",45,"confirm",4,"9H",35,0.44
"1218",45,"know",11,"8H",1,0.16
"1219",45,"say",8,"13L",26,0.02
"1220",45,"prove",2,"14H",22,0.01
"1221",45,"be annoyed",9,"17H",21,0.98
"1222",45,"hear",16,"20L",27,0.56
"1224",46,"confirm",4,"2L",10,0.01
"1225",46,"reveal",3,"1L",37,0.11
"1226",46,"discover",14,"4L",12,0.14
"1228",46,"think",7,"18L",32,0.19
"1229",46,"acknowledge",5,"9L",16,0.1
"1230",46,"announce",10,"11H",29,0.76
"1231",46,"prove",2,"16H",17,0.62
"1232",46,"hear",16,"19H",39,0.71
"1233",46,"be right",6,"14L",14,0.01
"1235",46,"be annoyed",9,"12L",28,0.03
"1236",46,"suggest",17,"8H",1,0.38
"1238",46,"know",11,"3H",33,0.67
"1239",46,"see",19,"6H",5,0.49
"1240",46,"establish",1,"15H",34,0.7
"1241",46,"say",8,"5L",38,0.15
"1242",46,"admit",13,"7H",24,0.38
"1243",46,"confess",20,"20H",3,0.78
"1244",46,"demonstrate",18,"13L",26,0.14
"1246",46,"pretend",15,"10H",18,0.68
"1247",46,"inform",12,"17L",15,0.04
"1249",47,"prove",2,"19L",4,0.09
"1250",47,"inform",12,"4H",40,0.81
"1251",47,"be annoyed",9,"1L",37,0
"1252",47,"suggest",17,"18L",32,0
"1253",47,"confess",20,"10H",18,0.89
"1254",47,"hear",16,"13H",8,0.84
"1256",47,"confirm",4,"6L",30,0.06
"1257",47,"pretend",15,"17H",21,0.02
"1258",47,"think",7,"12H",2,0.51
"1259",47,"see",19,"11H",29,0.62
"1262",47,"say",8,"3L",9,0.27
"1265",47,"demonstrate",18,"20H",3,0.61
"1267",47,"admit",13,"7L",19,0
"1268",47,"be right",6,"9L",16,0.12
"1269",47,"announce",10,"8H",1,0.55
"1270",47,"reveal",3,"2L",10,0.05
"1271",47,"acknowledge",5,"16L",31,0.22
"1272",47,"discover",14,"15H",34,0.91
"1273",47,"know",11,"5H",20,0.39
"1274",47,"establish",1,"14L",14,0.02
"1275",48,"demonstrate",18,"6H",5,0.1
"1276",48,"hear",16,"13L",26,0.86
"1277",48,"discover",14,"18H",6,0.09
"1278",48,"pretend",15,"7L",19,0
"1280",48,"confess",20,"20H",3,1
"1281",48,"inform",12,"5L",38,0
"1282",48,"be annoyed",9,"14H",22,0.21
"1283",48,"see",19,"19L",4,0.07
"1284",48,"be right",6,"9H",35,0.48
"1285",48,"suggest",17,"10H",18,0.69
"1286",48,"prove",2,"17H",21,0.77
"1287",48,"admit",13,"1H",13,1
"1290",48,"acknowledge",5,"16L",31,0
"1292",48,"know",11,"15H",34,0.66
"1293",48,"reveal",3,"3H",33,0.23
"1295",48,"establish",1,"11L",11,0.06
"1296",48,"think",7,"4L",12,0.07
"1297",48,"announce",10,"8L",23,0
"1299",48,"say",8,"2L",10,0
"1300",48,"confirm",4,"12L",28,0
"1302",49,"prove",2,"18H",6,0.37
"1304",49,"hear",16,"2H",25,0.41
"1306",49,"establish",1,"11H",29,0.29
"1308",49,"suggest",17,"16L",31,0.04
"1309",49,"admit",13,"10H",18,0.54
"1310",49,"be right",6,"9L",16,0.08
"1311",49,"demonstrate",18,"15L",7,0.08
"1312",49,"confirm",4,"17L",15,0.16
"1313",49,"see",19,"20L",27,0.05
"1314",49,"acknowledge",5,"14L",14,0.11
"1315",49,"know",11,"7L",19,0.76
"1316",49,"say",8,"6H",5,0.11
"1317",49,"announce",10,"13H",8,0.52
"1318",49,"confess",20,"8H",1,0.49
"1320",49,"reveal",3,"19H",39,0.62
"1321",49,"think",7,"4L",12,0.14
"1322",49,"inform",12,"5H",20,0.09
"1323",49,"discover",14,"12L",28,0.08
"1324",49,"be annoyed",9,"1L",37,0.03
"1326",49,"pretend",15,"3H",33,0.12
"1327",50,"inform",12,"19L",4,0.01
"1329",50,"prove",2,"13H",8,0.5
"1330",50,"know",11,"16H",17,0.01
"1332",50,"confirm",4,"5H",20,0.01
"1333",50,"announce",10,"1H",13,0.94
"1334",50,"hear",16,"15H",34,0.15
"1335",50,"acknowledge",5,"8L",23,0.02
"1336",50,"see",19,"9L",16,0.01
"1337",50,"be right",6,"11L",11,0.02
"1338",50,"pretend",15,"10L",36,0.01
"1341",50,"reveal",3,"2L",10,0.01
"1342",50,"be annoyed",9,"18H",6,0.2
"1343",50,"think",7,"7L",19,0.01
"1345",50,"admit",13,"17H",21,0.01
"1346",50,"establish",1,"12L",28,0.02
"1347",50,"say",8,"3H",33,0.02
"1348",50,"discover",14,"4L",12,0.02
"1350",50,"suggest",17,"6H",5,0.01
"1351",50,"confess",20,"14H",22,0
"1352",50,"demonstrate",18,"20L",27,0.01
"1353",51,"know",11,"7L",19,1
"1355",51,"prove",2,"5L",38,0.49
"1357",51,"see",19,"9L",16,0.65
"1360",51,"establish",1,"1H",13,0.3
"1362",51,"announce",10,"14H",22,0.49
"1363",51,"admit",13,"4L",12,0.64
"1364",51,"say",8,"12L",28,0.23
"1365",51,"pretend",15,"10H",18,0.36
"1366",51,"be right",6,"6L",30,0
"1367",51,"confirm",4,"18H",6,0.02
"1369",51,"reveal",3,"17L",15,0.75
"1370",51,"confess",20,"20H",3,0.66
"1371",51,"suggest",17,"16H",17,0.29
"1372",51,"acknowledge",5,"19L",4,0.69
"1373",51,"be annoyed",9,"8H",1,1
"1374",51,"inform",12,"13H",8,0.78
"1375",51,"think",7,"11H",29,0.49
"1376",51,"discover",14,"15L",7,0.62
"1377",51,"demonstrate",18,"3H",33,0.31
"1378",51,"hear",16,"2L",10,0.4
"1382",52,"hear",16,"18H",6,0.62
"1383",52,"see",19,"13H",8,0.91
"1384",52,"pretend",15,"19H",39,0.58
"1385",52,"be right",6,"7H",24,0.66
"1386",52,"say",8,"4H",40,0.6
"1388",52,"prove",2,"9L",16,0.36
"1389",52,"confirm",4,"6H",5,0.68
"1390",52,"think",7,"16L",31,0.59
"1392",52,"admit",13,"11H",29,0.84
"1393",52,"establish",1,"17L",15,0.66
"1394",52,"demonstrate",18,"10L",36,0.72
"1396",52,"be annoyed",9,"12H",2,0.91
"1397",52,"discover",14,"20L",27,0.83
"1398",52,"reveal",3,"8H",1,0.78
"1399",52,"suggest",17,"2L",10,0.32
"1400",52,"announce",10,"3H",33,0.75
"1401",52,"acknowledge",5,"15L",7,0.51
"1402",52,"confess",20,"5L",38,0.73
"1403",52,"inform",12,"1L",37,0.71
"1404",52,"know",11,"14L",14,0.8
"1405",53,"announce",10,"17L",15,0.52
"1406",53,"establish",1,"9L",16,0.12
"1407",53,"pretend",15,"5L",38,0.21
"1408",53,"be right",6,"7L",19,0.02
"1409",53,"reveal",3,"3H",33,0.81
"1410",53,"be annoyed",9,"6H",5,0.92
"1411",53,"say",8,"18L",32,0.15
"1412",53,"demonstrate",18,"8H",1,0.63
"1413",53,"inform",12,"13H",8,0.83
"1415",53,"hear",16,"16H",17,0.84
"1417",53,"discover",14,"19H",39,0.78
"1418",53,"acknowledge",5,"2H",25,0.7
"1421",53,"prove",2,"4L",12,0.15
"1422",53,"see",19,"20H",3,0.84
"1423",53,"admit",13,"15L",7,0.11
"1425",53,"suggest",17,"10L",36,0.1
"1426",53,"know",11,"12L",28,0.13
"1427",53,"think",7,"1L",37,0.06
"1429",53,"confess",20,"14H",22,0.51
"1430",53,"confirm",4,"11H",29,0.79
"1431",54,"say",8,"17L",15,0.22
"1432",54,"acknowledge",5,"7H",24,0.8
"1434",54,"confirm",4,"4H",40,0.57
"1435",54,"suggest",17,"9L",16,0.15
"1436",54,"be annoyed",9,"10L",36,0.85
"1438",54,"think",7,"16H",17,0.16
"1439",54,"hear",16,"1H",13,0.92
"1443",54,"confess",20,"6H",5,0.61
"1444",54,"be right",6,"19H",39,0.33
"1445",54,"pretend",15,"18H",6,0.16
"1446",54,"inform",12,"13L",26,0.07
"1447",54,"reveal",3,"11L",11,0.8
"1448",54,"establish",1,"8L",23,0.41
"1449",54,"announce",10,"14H",22,0.76
"1450",54,"know",11,"2L",10,0.82
"1451",54,"admit",13,"3L",9,0.62
"1452",54,"prove",2,"5L",38,0.06
"1454",54,"demonstrate",18,"20L",27,0.12
"1455",54,"see",19,"12H",2,0.74
"1456",54,"discover",14,"15H",34,0.91
"1457",55,"demonstrate",18,"15H",34,0.3
"1458",55,"confess",20,"12L",28,0.94
"1459",55,"confirm",4,"7L",19,0
"1460",55,"be annoyed",9,"4H",40,0.87
"1461",55,"see",19,"18H",6,0.29
"1462",55,"suggest",17,"1H",13,0.84
"1463",55,"announce",10,"19H",39,1
"1464",55,"say",8,"16L",31,0.17
"1466",55,"reveal",3,"3L",9,0.53
"1467",55,"acknowledge",5,"17H",21,0.37
"1468",55,"establish",1,"13L",26,0.06
"1471",55,"think",7,"5H",20,0.67
"1472",55,"pretend",15,"2L",10,0.04
"1473",55,"hear",16,"20H",3,0.74
"1475",55,"admit",13,"6L",30,0.04
"1477",55,"discover",14,"10H",18,0.87
"1478",55,"prove",2,"14L",14,0.01
"1479",55,"know",11,"8L",23,0.04
"1481",55,"be right",6,"9L",16,0.15
"1482",55,"inform",12,"11H",29,0.82
"1483",56,"confess",20,"3L",9,0.07
"1484",56,"announce",10,"20H",3,0.53
"1488",56,"demonstrate",18,"8H",1,0.08
"1489",56,"acknowledge",5,"5H",20,0.64
"1490",56,"admit",13,"6L",30,0.66
"1491",56,"prove",2,"18L",32,0.13
"1493",56,"suggest",17,"9H",35,0.06
"1494",56,"say",8,"19H",39,0.74
"1495",56,"discover",14,"14L",14,0.06
"1496",56,"reveal",3,"13L",26,0.02
"1497",56,"be right",6,"12H",2,0.09
"1498",56,"see",19,"2H",25,0.91
"1499",56,"think",7,"10H",18,0.61
"1500",56,"be annoyed",9,"17H",21,0.88
"1501",56,"establish",1,"15L",7,0.09
"1502",56,"confirm",4,"1L",37,0.09
"1503",56,"hear",16,"4L",12,0.06
"1504",56,"inform",12,"11H",29,0.82
"1506",56,"know",11,"16L",31,0.85
"1508",56,"pretend",15,"7L",19,0.03
"1510",57,"establish",1,"17H",21,0.08
"1511",57,"admit",13,"8L",23,0.15
"1512",57,"think",7,"6L",30,0.15
"1513",57,"be annoyed",9,"13H",8,0.83
"1514",57,"hear",16,"2H",25,0.91
"1515",57,"pretend",15,"4L",12,0.19
"1516",57,"say",8,"20H",3,0.38
"1517",57,"announce",10,"5H",20,0.34
"1518",57,"reveal",3,"15L",7,0.78
"1519",57,"acknowledge",5,"9H",35,0.83
"1520",57,"see",19,"3H",33,0.84
"1521",57,"know",11,"7H",24,0.92
"1522",57,"suggest",17,"19L",4,0.07
"1524",57,"inform",12,"16L",31,0.67
"1527",57,"confirm",4,"11L",11,0.28
"1530",57,"demonstrate",18,"1H",13,0.49
"1531",57,"prove",2,"14L",14,0.07
"1532",57,"confess",20,"18H",6,0.07
"1533",57,"discover",14,"10L",36,0.05
"1534",57,"be right",6,"12L",28,0.04
"1535",58,"demonstrate",18,"4H",40,0.72
"1539",58,"confirm",4,"20H",3,0.49
"1541",58,"pretend",15,"13L",26,0.01
"1542",58,"inform",12,"7H",24,0.14
"1543",58,"see",19,"19H",39,0.19
"1544",58,"announce",10,"10H",18,0.57
"1545",58,"suggest",17,"6L",30,0.09
"1546",58,"be annoyed",9,"17L",15,0.69
"1547",58,"acknowledge",5,"14L",14,0
"1549",58,"prove",2,"1H",13,0.37
"1550",58,"confess",20,"12L",28,0.13
"1551",58,"admit",13,"16L",31,0.51
"1552",58,"hear",16,"2L",10,0.09
"1553",58,"think",7,"5H",20,0.7
"1554",58,"discover",14,"15L",7,0.06
"1555",58,"reveal",3,"8H",1,0.56
"1556",58,"establish",1,"9L",16,0.34
"1558",58,"know",11,"3H",33,0.74
"1559",58,"be right",6,"18L",32,0.07
"1560",58,"say",8,"11H",29,0.77
"1561",59,"be annoyed",9,"5L",38,0.96
"1562",59,"confirm",4,"20L",27,0
"1563",59,"confess",20,"3L",9,0.77
"1564",59,"admit",13,"4L",12,0.34
"1565",59,"acknowledge",5,"9H",35,0.8
"1567",59,"think",7,"13H",8,0.18
"1568",59,"be right",6,"6H",5,0.18
"1569",59,"announce",10,"17L",15,0.22
"1570",59,"say",8,"10H",18,0.36
"1571",59,"reveal",3,"2H",25,0.56
"1574",59,"inform",12,"8H",1,0.59
"1576",59,"see",19,"19L",4,0.74
"1577",59,"discover",14,"11L",11,0.41
"1578",59,"establish",1,"1L",37,0.21
"1579",59,"demonstrate",18,"7H",24,0.38
"1580",59,"suggest",17,"14H",22,0.06
"1581",59,"hear",16,"16H",17,0.94
"1582",59,"know",11,"18H",6,0.95
"1584",59,"prove",2,"12L",28,0.13
"1585",59,"pretend",15,"15L",7,0.03
"1613",60,"inform",12,"13H",8,0.45
"1614",60,"pretend",15,"14L",14,0.1
"1615",60,"demonstrate",18,"3H",33,0.01
"1616",60,"admit",13,"16H",17,0
"1617",60,"confess",20,"2L",10,0.06
"1618",60,"confirm",4,"8L",23,0.1
"1619",60,"think",7,"10L",36,0.01
"1621",60,"establish",1,"5H",20,0.02
"1622",60,"say",8,"12H",2,0.34
"1623",60,"reveal",3,"4H",40,0.44
"1624",60,"know",11,"15H",34,0.01
"1625",60,"prove",2,"19H",39,0.03
"1626",60,"be right",6,"9L",16,0.02
"1627",60,"acknowledge",5,"6L",30,0.08
"1628",60,"discover",14,"11L",11,0.05
"1631",60,"announce",10,"17L",15,0.02
"1633",60,"be annoyed",9,"18L",32,0.46
"1634",60,"suggest",17,"1L",37,0.44
"1635",60,"hear",16,"20H",3,0.52
"1638",60,"see",19,"7H",24,0.01
"1639",61,"see",19,"18L",32,0
"1641",61,"prove",2,"20L",27,0
"1642",61,"establish",1,"16H",17,0
"1643",61,"think",7,"2H",25,0
"1644",61,"inform",12,"11L",11,0
"1645",61,"acknowledge",5,"9L",16,0
"1646",61,"discover",14,"8H",1,0
"1647",61,"reveal",3,"12H",2,0
"1648",61,"admit",13,"5H",20,0
"1649",61,"know",11,"17L",15,0
"1650",61,"announce",10,"3H",33,0
"1651",61,"confess",20,"1L",37,0
"1652",61,"confirm",4,"7L",19,0
"1654",61,"be right",6,"14H",22,0
"1655",61,"pretend",15,"4L",12,0
"1659",61,"be annoyed",9,"13L",26,0
"1660",61,"hear",16,"19H",39,0
"1661",61,"suggest",17,"10H",18,0
"1662",61,"say",8,"15L",7,0
"1663",61,"demonstrate",18,"6H",5,0
"1665",62,"pretend",15,"3L",9,0.04
"1666",62,"confess",20,"13H",8,1
"1667",62,"acknowledge",5,"17L",15,1
"1668",62,"prove",2,"6H",5,0.03
"1669",62,"announce",10,"15H",34,0.5
"1671",62,"be annoyed",9,"12L",28,0.95
"1674",62,"be right",6,"10L",36,0.03
"1675",62,"demonstrate",18,"8L",23,0.02
"1676",62,"confirm",4,"5L",38,0.03
"1679",62,"reveal",3,"2H",25,0.96
"1680",62,"hear",16,"19H",39,0.95
"1681",62,"inform",12,"1H",13,0.93
"1683",62,"establish",1,"14L",14,0.51
"1684",62,"know",11,"16L",31,0.97
"1685",62,"think",7,"11L",11,0.04
"1686",62,"see",19,"7L",19,0.94
"1687",62,"admit",13,"9H",35,0.04
"1688",62,"suggest",17,"4H",40,0.03
"1689",62,"say",8,"18H",6,0.04
"1690",62,"discover",14,"20H",3,0.97
"1691",63,"discover",14,"16L",31,1
"1692",63,"pretend",15,"18H",6,0
"1693",63,"be annoyed",9,"5H",20,1
"1694",63,"confess",20,"9H",35,0.81
"1696",63,"hear",16,"7L",19,0.85
"1697",63,"demonstrate",18,"8H",1,0.17
"1698",63,"confirm",4,"17L",15,0
"1699",63,"think",7,"13L",26,0.08
"1700",63,"see",19,"2H",25,0.96
"1701",63,"know",11,"12H",2,1
"1702",63,"reveal",3,"10L",36,0.93
"1703",63,"inform",12,"4L",12,0.22
"1704",63,"prove",2,"19H",39,0.09
"1705",63,"say",8,"15L",7,0
"1707",63,"admit",13,"11L",11,0.85
"1708",63,"establish",1,"14L",14,0.04
"1709",63,"acknowledge",5,"6H",5,0.96
"1710",63,"announce",10,"3L",9,0.61
"1711",63,"suggest",17,"1H",13,0.3
"1716",63,"be right",6,"20H",3,0
"1717",64,"be annoyed",9,"9L",16,0.95
"1718",64,"reveal",3,"20H",3,0.51
"1719",64,"prove",2,"2H",25,0.18
"1721",64,"think",7,"12L",28,0.1
"1722",64,"confess",20,"8H",1,0.91
"1723",64,"confirm",4,"6L",30,0.63
"1725",64,"be right",6,"1H",13,0.11
"1727",64,"know",11,"13L",26,0.97
"1729",64,"pretend",15,"4L",12,0.03
"1730",64,"admit",13,"16H",17,0.88
"1731",64,"establish",1,"5L",38,0.05
"1732",64,"say",8,"10H",18,0.09
"1733",64,"suggest",17,"7L",19,0.04
"1734",64,"acknowledge",5,"3H",33,0.93
"1736",64,"discover",14,"17L",15,0.53
"1737",64,"announce",10,"14H",22,0.84
"1738",64,"see",19,"15H",34,0.95
"1739",64,"inform",12,"19L",4,0.84
"1740",64,"demonstrate",18,"11H",29,0.62
"1741",64,"hear",16,"18L",32,0.9
"1743",65,"pretend",15,"7H",24,0
"1744",65,"see",19,"5H",20,0.67
"1745",65,"admit",13,"1H",13,0.94
"1746",65,"know",11,"2H",25,0.46
"1747",65,"be right",6,"11H",29,0.21
"1748",65,"prove",2,"4H",40,0.5
"1749",65,"be annoyed",9,"15L",7,0.03
"1751",65,"demonstrate",18,"20L",27,0.01
"1753",65,"discover",14,"16L",31,0.05
"1754",65,"think",7,"9H",35,0.85
"1757",65,"establish",1,"18L",32,0.05
